data_extracao;linha;sentido;numero_sequencia;tipo;nome;endereco_logradouro
2020-08-02 01:58:38.796502;272  ;BAIRROCENTRO;1;TERMINAL/PARADA;TERM.DR.A.M.NETO/ESQ.SCHNEIDER;R DO SCHNEIDER
2020-08-02 01:58:38.796502;A87  ;BAIRROTERMINAL;1;TERMINAL/PARADA;TERM.DR.A.M.NETO/ESQ.SCHNEIDER;R DO SCHNEIDER
2020-08-02 01:58:38.796502;2573;BAIRROCENTRO;1;TERMINAL/PARADA;TERMINAL DOZE DE OUTUBRO      ;R DOZE DE OUTUBRO
2020-08-02 01:58:38.796502;A53  ;TERMINALBAIRROTERMINAL;1;TERMINAL/PARADA;TERM.TRIANGULO - PLAT. LATERAL;ASSIS BRASIL                         
2020-08-02 01:58:38.796502;6372;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL PROF ANNES DIAS      ;PROF ANNES DIAS                      
2020-08-02 01:58:38.796502;4952 ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL PEREIRA PAROBE       ;PEREIRA PAROBE                       
2020-08-02 01:58:38.796502;LE23 ;TERMINALBAIRRO;99999;TERMINAL/PARADA;TERMINAL ESTACAO SAO PEDRO    ;VOLUNTARIOS DA PATRIA                
2020-08-02 01:58:38.796502;2542 ;BAIRROTERMINAL;99999;TERMINAL/PARADA;TERMINAL AZENHA               ;AZENHA                               
2020-08-02 01:58:38.796502;7561 ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL DE PERCURSO CAIRU    ;TERM CAIRU
2020-08-02 01:58:38.796502;168  ;BAIRROCENTRO;1;TERMINAL/PARADA;TER.BAIRRO AV.BEIRA RIO B.NOVO;AV BEIRA RIO
2020-08-02 01:58:38.796502;EC07 ;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. JOSE C D DE OLIVEIRA    ;TRAV JOSE CARLOS DIAS DE OLIVEIRA
2020-08-02 01:58:38.796502;A67  ;TERMINALBAIRRO;1;TERMINAL/PARADA;TERM. R. DR. CECILIO MONZA    ;R DR CECILIO MONZA
2020-08-02 01:58:38.796502;250  ;CENTROBAIRRO;99999;TERMINAL/PARADA;ESTR. BARCELLOS               ;BARCELLOS                            
2020-08-02 01:58:38.796502;E110 ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. LOUREIRO DA SILVA       ;LOUREIRO DA SILVA                    
2020-08-02 01:58:38.796502;3941 ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL CASSIANO NASCIMENTO  ;CASSIANO NASCIMENTO                  
2020-08-02 01:58:38.796502;2732 ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL URUGUAI              ;R URUGUAI
2020-08-02 01:58:38.796502;496  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM.CENTRO JULIO DE CASTILHOS;JULIO DE CASTILHOS                   
2020-08-02 01:58:38.796502;LE25 ;TERMINALBAIRROTERMINAL;1;TERMINAL/PARADA;TERM.CENTRO J.DE CASTILHOS, 53;AV JULIO DE CASTILHOS
2020-08-02 01:58:38.796502;2541 ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM.CENTRO BORGES DE MEDEIROS;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;D18  ;BAIRROCENTRO;1;TERMINAL/PARADA;TERM. BAIRRO ILHA MAUA        ;R ILHA MAUA
2020-08-02 01:58:38.796502;T23  ;SULNORTE;1;TERMINAL/PARADA;TERM. SUL PERI MACHADO        ;PERI MACHADO                         
2020-08-02 01:58:38.796502;F04  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. BORGES/LG GLENIO PERES  ;AV BORGES DE MEDEIROS
2020-08-02 01:58:38.796502;C801 ;BAIRROTERMINAL;1;TERMINAL/PARADA;TERMINAL ZAFFARI              ;OTTO NIEMEYER                        
2020-08-02 01:58:38.796502;GT3  ;NORTESUL;99999;TERMINAL/PARADA;TERM.SUL AV DIÁRIO DE NOTÍCIAS;DIARIO DE NOTICIAS                   
2020-08-02 01:58:38.796502;GT41 ;NORTESUL;99999;TERMINAL/PARADA;TERM.SUL AV DIÁRIO DE NOTÍCIAS;DIARIO DE NOTICIAS                   
2020-08-02 01:58:38.796502;A02  ;CENTROBAIRROCENTRO;1;TERMINAL/PARADA;TERMINAL RUA URUGUAI          ;URUGUAI                              
2020-08-02 01:58:38.796502;346  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL URUGUAI              ;R URUGUAI
2020-08-02 01:58:38.796502;2741 ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL BORGES DE MEDEIROS   ;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;E211 ;BAIRROTERMINAL;99999;TERMINAL/PARADA;TERM. AV. CAVALHADA, Nº 2628  ;CAVALHADA                            
2020-08-02 01:58:38.796502;3985 ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL SENADOR SALGADO FILHO;SENADOR SALGADO FILHO                
2020-08-02 01:58:38.796502;M98  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL SENADOR SALGADO FILHO;SENADOR SALGADO FILHO                
2020-08-02 01:58:38.796502;178  ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL CENTRO RUA URUGUAI   ;URUGUAI                              
2020-08-02 01:58:38.796502;2821 ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL URUGUAI              ;R URUGUAI
2020-08-02 01:58:38.796502;268  ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMIANL BORGES DE MEDEIROS   ;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;3974 ;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. SEN. SALGADO FILHO      ;SENADOR SALGADO FILHO                
2020-08-02 01:58:38.796502;111  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. LOUREIRO DA SILVA       ;LOUREIRO DA SILVA                    
2020-08-02 01:58:38.796502;A03  ;CENTROBAIRROCENTRO;1;TERMINAL/PARADA;TERMINAL CASSIANO NASCIMENTO  ;CASSIANO NASCIMENTO                  
2020-08-02 01:58:38.796502;188  ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL URUGUAI              ;R URUGUAI
2020-08-02 01:58:38.796502;M68  ;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. AV. BORGES DE MEDEIROS  ;BORGES DE MEDEIROS                   
